flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
195,"January 3, 2023 14:56[17]",F9 B5 B1060‑15,"Cape Canaveral, SLC‑40",Transporter-6 (115 payload smallsat rideshare),Unknown[j],SSO,Various,Success,Success (LZ‑1),28.5618571,-80.577366
196,"January 10, 2023 04:50[23]",F9 B5 B1076‑2,"Cape Canaveral, SLC‑40",OneWeb 16 (40 satellites),"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success (LZ‑1),28.5618571,-80.577366
FH 5,"January 15, 2023 22:56[29]",Falcon Heavy B5 B1070 (core),"Kennedy, LC‑39A",USSF-67 (CBAS-2 & LDPE-3A),"~3,750 kg (8,270 lb)",GEO,USSF,Success,No attempt,28.6080585,-80.6039558
197,"January 18, 2023 12:24[33]",F9 B5 B1077‑2,"Cape Canaveral, SLC‑40",USA-343 (GPS-III SV06),"4,352 kg (9,595 lb)",MEO,USSF,Success,Success (JRTI),28.5618571,-80.577366
198,"January 19, 2023 15:43[39]",F9 B5 B1075‑1,"Vandenberg, SLC‑4E",Starlink: Group 2-4 (51 satellites),"15,000 kg (33,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
199,"January 26, 2023 09:32[40]",F9 B5 B1067‑9,"Cape Canaveral, SLC‑40",Starlink: Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
200,"January 31, 2023 16:15[42]",F9 B5 B1071‑7,"Vandenberg, SLC‑4E",Starlink: Group 2-6 (49 satellites),"~15,200 kg (33,500 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
201,"February 2, 2023 07:58[42]",F9 B5 B1069‑5,"Kennedy, LC‑39A",Starlink: Group 5-3 (53 satellites),"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.6080585,-80.6039558
202,"February 7, 2023 01:32[46]",F9 B5 B1073‑6,"Cape Canaveral, SLC‑40",Amazonas Nexus,"4,146 kg (9,140 lb)",GTO,Hispasat,Success,Success (JRTI),28.5618571,-80.577366
203,"February 12, 2023 05:10[52]",F9 B5 B1062‑12,"Cape Canaveral, SLC‑40",Starlink: Group 5-4 (55 satellites),"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
